bowler,team1,team2,venue,date,delivery,runs,wicket,byes,legbyes,overs,economy,4w,5w,points,eco_bonus
DP Vijaykumar,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,18,17.0,1,0.0,1.0,3.0,5.666666666666667,0,0,29,4
JA Morkel,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,25,25.0,1,0.0,0.0,4.1,6.097560975609756,0,0,27,2
Joginder Sharma,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,18,38.0,0,0.0,0.0,3.0,12.666666666666666,0,0,-6,-6
M Muralitharan,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,25,23.0,1,0.0,1.0,4.1,5.609756097560976,0,0,29,4
M Ntini,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,24,37.0,0,0.0,0.0,4.0,9.25,0,0,-2,-2
MS Gony,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,18,15.0,1,0.0,0.0,3.0,5.0,0,0,29,4
PP Ojha,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,25,21.0,1,0.0,0.0,4.1,5.121951219512195,0,0,29,4
RP Singh,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,20,10.0,2,0.0,4.0,3.2,3.125,0,0,56,6
SB Bangar,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,24,36.0,1,0.0,0.0,4.0,9.0,0,0,25,0
SB Styris,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,19,23.0,1,0.0,0.0,3.1,7.419354838709677,0,0,25,0
Shahid Afridi,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2008-05-06,18,27.0,1,0.0,1.0,3.0,9.0,0,0,25,0
DR Smith,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,6,17.0,0,0.0,0.0,1.0,17.0,0,0,0,0
FH Edwards,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,24,21.0,1,0.0,0.0,4.0,5.25,0,0,29,4
JA Morkel,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,18,24.0,0,0.0,1.0,3.0,8.0,0,0,0,0
JDP Oram,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,18,28.0,0,0.0,1.0,3.0,9.333333333333334,0,0,-2,-2
Joginder Sharma,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,6,14.0,0,0.0,0.0,1.0,14.0,0,0,0,0
L Balaji,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,22,40.0,1,0.0,0.0,3.4,11.764705882352942,0,0,19,-6
M Muralitharan,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,25,16.0,1,0.0,0.0,4.1,3.902439024390244,0,0,31,6
MS Gony,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,7,19.0,0,0.0,0.0,1.1,17.27272727272727,0,0,0,0
PP Ojha,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,12,11.0,2,0.0,0.0,2.0,5.5,0,0,54,4
RG Sharma,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,18,18.0,1,0.0,0.0,3.0,6.0,0,0,27,2
RP Singh,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,20,26.0,1,0.0,0.0,3.2,8.125,0,0,25,0
SK Raina,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,24,18.0,2,0.0,0.0,4.0,4.5,0,0,56,6
Shoaib Ahmed,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,19,30.0,0,0.0,0.0,3.1,9.67741935483871,0,0,-2,-2
Y Venugopal Rao,Chennai Super Kings,Deccan Chargers,Kingsmead,2009-04-27,25,34.0,1,0.0,0.0,4.1,8.292682926829269,0,0,25,0
DR Smith,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,13,19.0,0,0.0,0.0,2.1,9.047619047619047,0,0,-2,-2
JA Morkel,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,18,23.0,2,1.0,0.0,3.0,7.666666666666667,0,0,50,0
L Balaji,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,6,18.0,0,0.0,0.0,1.0,18.0,0,0,0,0
M Muralitharan,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,19,10.0,2,0.0,2.0,3.1,3.225806451612903,0,0,56,6
PP Ojha,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,25,25.0,0,0.0,5.0,4.1,6.097560975609756,0,0,2,2
RG Sharma,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,6,8.0,0,0.0,0.0,1.0,8.0,0,0,0,0
RJ Harris,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,24,39.0,0,0.0,0.0,4.0,9.75,0,0,-2,-2
RP Singh,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,26,34.0,1,0.0,0.0,4.2,8.095238095238095,0,0,25,0
S Tyagi,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,13,8.0,1,0.0,0.0,2.1,3.809523809523809,0,0,31,6
SB Jakati,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,24,22.0,4,0.0,1.0,4.0,5.5,1,0,112,4
SK Raina,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,10,12.0,1,0.0,0.0,1.4,8.571428571428571,0,0,25,0
Shoaib Ahmed,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,12,14.0,1,0.0,0.0,2.0,7.0,0,0,25,0
TL Suman,Chennai Super Kings,Deccan Chargers,Buffalo Park,2009-05-04,18,29.0,1,0.0,0.0,3.0,9.666666666666666,0,0,23,-2
A Symonds,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,18,29.0,2,0.0,0.0,3.0,9.666666666666666,0,0,48,-2
JA Morkel,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,25,40.0,1,0.0,1.0,4.1,9.756097560975611,0,0,23,-2
JM Kemp,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,14,14.0,0,0.0,0.0,2.2,6.363636363636363,0,0,2,2
Jaskaran Singh,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,7,15.0,0,0.0,0.0,1.1,13.636363636363637,0,0,0,0
L Balaji,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,25,35.0,1,0.0,1.0,4.1,8.536585365853659,0,0,25,0
M Muralitharan,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,28,24.0,0,0.0,0.0,4.4,5.454545454545454,0,0,4,4
PP Ojha,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,24,28.0,2,0.0,0.0,4.0,7.0,0,0,50,0
R Ashwin,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,26,24.0,2,2.0,0.0,4.2,5.714285714285714,0,0,54,4
RG Sharma,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,24,27.0,1,0.0,0.0,4.0,6.75,0,0,27,2
RP Singh,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,20,28.0,1,0.0,0.0,3.2,8.75,0,0,25,0
S Tyagi,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,11,37.0,0,0.0,1.0,1.5,24.666666666666668,0,0,0,0
TL Suman,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,6,8.0,0,0.0,0.0,1.0,8.0,0,0,0,0
WPUJC Vaas,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2010-03-14,24,21.0,3,0.0,0.0,4.0,5.25,0,0,79,4
A Symonds,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,25,17.0,1,3.0,2.0,4.1,4.146341463414634,0,0,31,6
DE Bollinger,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,24,13.0,4,0.0,1.0,4.0,3.25,1,0,114,6
Harmeet Singh,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,24,22.0,1,0.0,2.0,4.0,5.5,0,0,29,4
JA Morkel,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,18,15.0,1,0.0,0.0,3.0,5.0,0,0,29,4
M Muralitharan,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,24,16.0,1,0.0,1.0,4.0,4.0,0,0,31,6
PP Ojha,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,24,27.0,1,0.0,0.0,4.0,6.75,0,0,27,2
R Ashwin,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,24,14.0,1,0.0,0.0,4.0,3.5,0,0,31,6
RJ Harris,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,25,28.0,3,1.0,1.0,4.1,6.829268292682928,0,0,77,2
RP Singh,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,25,32.0,1,4.0,0.0,4.1,7.804878048780488,0,0,25,0
SB Jakati,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,26,38.0,2,0.0,0.0,4.2,9.047619047619047,0,0,48,-2
SK Raina,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-22,2,0.0,1,0.0,0.0,0.2,0.0,0,0,25,0
A Mishra,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,18,34.0,0,0.0,0.0,3.0,11.333333333333334,0,0,-6,-6
DE Bollinger,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,24,26.0,3,0.0,0.0,4.0,6.5,0,0,77,2
DT Christian,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,18,12.0,0,0.0,0.0,3.0,4.0,0,0,6,6
Harmeet Singh,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,18,25.0,1,0.0,0.0,3.0,8.333333333333334,0,0,25,0
I Sharma,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,24,40.0,0,0.0,1.0,4.0,10.0,0,0,-2,-2
JA Morkel,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,26,36.0,3,0.0,1.0,4.2,8.571428571428571,0,0,75,0
JP Duminy,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,19,20.0,0,0.0,0.0,3.1,6.451612903225806,0,0,2,2
PP Ojha,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,25,25.0,4,4.0,0.0,4.1,6.097560975609756,1,0,110,2
R Ashwin,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,24,23.0,0,1.0,0.0,4.0,5.75,0,0,4,4
S Randiv,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,25,33.0,0,0.0,0.0,4.1,8.048780487804878,0,0,0,0
SB Jakati,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,24,23.0,2,0.0,0.0,4.0,5.75,0,0,54,4
A Ashish Reddy,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,12,14.0,1,0.0,0.0,2.0,7.0,0,0,25,0
A Mishra,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,12,18.0,1,0.0,0.0,2.0,9.0,0,0,25,0
AA Jhunjhunwala,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,18,13.0,1,0.0,1.0,3.0,4.333333333333333,0,0,31,6
Ankit Sharma,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,12,13.0,0,0.0,2.0,2.0,6.5,0,0,2,2
BW Hilfenhaus,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,24,31.0,1,0.0,0.0,4.0,7.75,0,0,25,0
DJ Bravo,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,25,34.0,2,0.0,0.0,4.1,8.292682926829269,0,0,50,0
DT Christian,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,25,34.0,1,0.0,1.0,4.1,8.292682926829269,0,0,25,0
DW Steyn,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,24,25.0,0,0.0,0.0,4.0,6.25,0,0,2,2
JA Morkel,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,18,16.0,1,0.0,0.0,3.0,5.333333333333333,0,0,29,4
R Ashwin,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,19,18.0,0,0.0,0.0,3.1,5.806451612903226,0,0,4,4
RA Jadeja,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,18,25.0,0,0.0,1.0,3.0,8.333333333333334,0,0,0,0
SB Jakati,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,12,17.0,0,0.0,0.0,2.0,8.5,0,0,0,0
SK Raina,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,6,5.0,1,0.0,1.0,1.0,5.0,0,0,25,0
V Pratap Singh,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,19,34.0,2,0.0,1.0,3.1,10.96774193548387,0,0,46,-4
A Mishra,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,2019-05-01,18,16.0,0,0.0,0.0,3.0,5.333333333333333,0,0,4,4
AR Patel,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,2019-05-01,18,31.0,1,0.0,0.0,3.0,10.333333333333334,0,0,21,-4
CH Morris,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,2019-05-01,25,39.0,1,0.0,0.0,4.1,9.51219512195122,0,0,23,-2
DJ Bravo,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,2019-05-01,18,18.0,1,0.0,0.0,3.0,6.0,0,0,27,2
DL Chahar,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,2019-05-01,18,32.0,1,0.0,0.0,3.0,10.666666666666666,0,0,21,-4
Harbhajan Singh,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,2019-05-01,24,28.0,1,0.0,0.0,4.0,7.0,0,0,25,0
Imran Tahir,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,2019-05-01,20,12.0,4,0.0,0.0,3.2,3.75,1,0,114,6
J Suchith,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,2019-05-01,24,28.0,2,0.0,0.0,4.0,7.0,0,0,50,0
RA Jadeja,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,2019-05-01,18,9.0,3,0.0,0.0,3.0,3.0,0,0,81,6
SE Rutherford,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,2019-05-01,14,17.0,0,0.0,1.0,2.2,7.727272727272727,0,0,0,0
TA Boult,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,2019-05-01,25,35.0,0,0.0,0.0,4.1,8.536585365853659,0,0,0,0
A Nortje,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,2020-10-17,24,44.0,2,0.0,0.0,4.0,11.0,0,0,46,-4
AR Patel,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,2020-10-17,24,23.0,0,0.0,0.0,4.0,5.75,0,0,4,4
DJ Bravo,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,2020-10-17,19,22.0,1,0.0,0.0,3.1,7.096774193548387,0,0,25,0
DL Chahar,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,2020-10-17,24,18.0,2,0.0,1.0,4.0,4.5,0,0,56,6
K Rabada,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,2020-10-17,25,31.0,1,0.0,0.0,4.1,7.560975609756098,0,0,25,0
KV Sharma,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,2020-10-17,18,34.0,0,0.0,0.0,3.0,11.333333333333334,0,0,-6,-6
MP Stoinis,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,2020-10-17,6,10.0,0,0.0,0.0,1.0,10.0,0,0,0,0
R Ashwin,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,2020-10-17,18,30.0,0,0.0,0.0,3.0,10.0,0,0,-2,-2
RA Jadeja,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,2020-10-17,12,34.0,0,0.0,0.0,2.0,17.0,0,0,-6,-6
SM Curran,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,2020-10-17,25,34.0,1,0.0,0.0,4.1,8.292682926829269,0,0,25,0
SN Thakur,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,2020-10-17,24,39.0,1,0.0,0.0,4.0,9.75,0,0,23,-2
TU Deshpande,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,2020-10-17,26,37.0,1,0.0,0.0,4.2,8.809523809523808,0,0,25,0
A Mishra,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",2021-04-10,18,27.0,0,0.0,0.0,3.0,9.0,0,0,0,0
Avesh Khan,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",2021-04-10,25,22.0,3,0.0,0.0,4.1,5.365853658536586,0,0,79,4
CR Woakes,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",2021-04-10,18,18.0,2,0.0,1.0,3.0,6.0,0,0,52,2
DJ Bravo,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",2021-04-10,25,27.0,1,0.0,0.0,4.1,6.585365853658537,0,0,27,2
DL Chahar,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",2021-04-10,24,36.0,0,0.0,0.0,4.0,9.0,0,0,0,0
MM Ali,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",2021-04-10,18,32.0,0,0.0,0.0,3.0,10.666666666666666,0,0,-4,-4
MP Stoinis,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",2021-04-10,12,19.0,0,0.0,5.0,2.0,9.5,0,0,-2,-2
R Ashwin,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",2021-04-10,24,47.0,1,0.0,1.0,4.0,11.75,0,0,19,-6
RA Jadeja,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",2021-04-10,12,16.0,0,0.0,0.0,2.0,8.0,0,0,0,0
SM Curran,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",2021-04-10,12,24.0,0,0.0,0.0,2.0,12.0,0,0,-6,-6
SN Thakur,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",2021-04-10,24,51.0,2,0.0,0.0,4.0,12.75,0,0,44,-6
TK Curran,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",2021-04-10,25,39.0,1,0.0,0.0,4.1,9.51219512195122,0,0,23,-2
A Nortje,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,2021-10-04,26,31.0,1,0.0,4.0,4.2,7.3809523809523805,0,0,25,0
AR Patel,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,2021-10-04,24,18.0,2,0.0,0.0,4.0,4.5,0,0,56,6
Avesh Khan,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,2021-10-04,26,33.0,1,0.0,1.0,4.2,7.857142857142857,0,0,25,0
DJ Bravo,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,2021-10-04,13,16.0,1,0.0,0.0,2.1,7.619047619047619,0,0,25,0
DL Chahar,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,2021-10-04,20,32.0,1,0.0,0.0,3.2,10.0,0,0,23,-2
JR Hazlewood,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,2021-10-04,24,27.0,1,0.0,0.0,4.0,6.75,0,0,27,2
K Rabada,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,2021-10-04,24,21.0,0,0.0,0.0,4.0,5.25,0,0,4,4
MM Ali,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,2021-10-04,18,16.0,0,0.0,0.0,3.0,5.333333333333333,0,0,4,4
R Ashwin,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,2021-10-04,26,18.0,1,0.0,0.0,4.2,4.285714285714286,0,0,31,6
RA Jadeja,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,2021-10-04,25,27.0,2,0.0,1.0,4.1,6.585365853658537,0,0,52,2
SN Thakur,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,2021-10-04,24,13.0,2,0.0,0.0,4.0,3.25,0,0,56,6
A Nortje,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022-05-08,24,40.0,3,0.0,0.0,4.0,10.0,0,0,73,-2
AR Patel,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022-05-08,18,23.0,0,0.0,0.0,3.0,7.666666666666667,0,0,0,0
DJ Bravo,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022-05-08,17,23.0,2,0.0,1.0,2.5,9.2,0,0,48,-2
KK Ahmed,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022-05-08,27,25.0,2,0.0,0.0,4.3,5.813953488372094,0,0,54,4
Kuldeep Yadav,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022-05-08,20,41.0,0,0.0,0.0,3.2,12.8125,0,0,-6,-6
M Theekshana,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022-05-08,24,29.0,1,0.0,1.0,4.0,7.25,0,0,25,0
MM Ali,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022-05-08,24,13.0,3,0.0,0.0,4.0,3.25,0,0,81,6
MR Marsh,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022-05-08,21,31.0,1,0.0,0.0,3.3,9.393939393939394,0,0,23,-2
Mukesh Choudhary,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022-05-08,18,22.0,2,0.0,0.0,3.0,7.333333333333333,0,0,50,0
SN Thakur,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022-05-08,20,35.0,0,0.0,0.0,3.2,10.9375,0,0,-4,-4
Simarjeet Singh,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",2022-05-08,25,26.0,2,0.0,0.0,4.1,6.341463414634147,0,0,52,2
AR Patel,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,24,27.0,2,0.0,0.0,4.0,6.75,0,0,52,2
DL Chahar,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,19,27.0,2,0.0,0.0,3.1,8.709677419354838,0,0,50,0
I Sharma,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,14,21.0,0,0.0,1.0,2.2,9.545454545454543,0,0,-2,-2
KK Ahmed,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,26,30.0,1,0.0,1.0,4.2,7.142857142857142,0,0,25,0
Kuldeep Yadav,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,27,25.0,1,0.0,1.0,4.3,5.813953488372094,0,0,29,4
Lalit Yadav,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,18,34.0,1,0.0,1.0,3.0,11.333333333333334,0,0,19,-6
M Pathirana,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,28,33.0,3,0.0,4.0,4.4,7.499999999999999,0,0,75,0
M Theekshana,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,12,16.0,0,0.0,0.0,2.0,8.0,0,0,0,0
MM Ali,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,24,16.0,0,0.0,1.0,4.0,4.0,0,0,6,6
MR Marsh,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,21,15.0,3,1.0,0.0,3.3,4.545454545454546,0,0,81,6
RA Jadeja,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,24,19.0,1,0.0,0.0,4.0,4.75,0,0,31,6
TU Deshpande,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,18,18.0,2,0.0,1.0,3.0,6.0,0,0,52,2
A Nortje,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2023-05-20,24,43.0,1,0.0,0.0,4.0,10.75,0,0,21,-4
AR Patel,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2023-05-20,18,32.0,0,0.0,0.0,3.0,10.666666666666666,0,0,-4,-4
C Sakariya,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2023-05-20,27,30.0,1,0.0,0.0,4.3,6.976744186046512,0,0,27,2
DL Chahar,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2023-05-20,24,22.0,3,0.0,0.0,4.0,5.5,0,0,79,4
KK Ahmed,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2023-05-20,26,42.0,1,0.0,1.0,4.2,10.0,0,0,23,-2
Kuldeep Yadav,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2023-05-20,18,34.0,0,0.0,0.0,3.0,11.333333333333334,0,0,-6,-6
Lalit Yadav,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2023-05-20,14,30.0,0,0.0,0.0,2.2,13.636363636363637,0,0,-6,-6
M Pathirana,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2023-05-20,29,16.0,2,0.0,1.0,4.5,3.555555555555556,0,0,56,6
M Theekshana,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2023-05-20,24,23.0,2,0.0,0.0,4.0,5.75,0,0,54,4
