batsman,team1,team2,venue,date,runs,delivery,4s,6s,ducks,strike_rate,50s,100s,points,sr_bonus,last_5_avg,last_5_sr,career_avg,career_sr,venue_avg
A Ashish Reddy,Mumbai Indians,Deccan Chargers,Wankhede Stadium,2012-04-29,10.0,10,0,1,1,100.0,0,0,10.0,0,10.0,100.0,12.173913043478262,135.39039462952505,10.0
A Ashish Reddy,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,3.0,3,0,0,1,100.0,0,0,1.0,0,6.5,100.0,12.173913043478262,135.39039462952505,19.5
A Ashish Reddy,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2012-05-08,8.0,8,1,0,1,100.0,0,0,7.0,0,7.0,100.0,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2012-05-18,10.0,4,2,0,0,250.0,0,0,18.0,6,7.75,137.5,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2012-05-20,4.0,5,0,0,1,80.0,0,0,2.0,0,7.0,126.0,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",2013-04-05,7.0,4,1,0,0,175.0,0,0,8.0,0,6.4,141.0,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2013-04-07,14.0,12,0,1,1,116.66666666666669,0,0,14.0,0,8.6,144.33333333333334,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,2013-04-09,3.0,4,0,0,1,75.0,0,0,1.0,0,7.6,139.33333333333334,12.173913043478262,135.39039462952505,17.5
A Ashish Reddy,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,2013-04-12,16.0,9,2,0,1,177.77777777777777,0,0,22.0,6,8.8,124.88888888888889,12.173913043478262,135.39039462952505,16.0
A Ashish Reddy,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2013-04-14,4.0,5,0,0,1,80.0,0,0,2.0,0,8.8,124.88888888888889,12.173913043478262,135.39039462952505,4.0
A Ashish Reddy,Pune Warriors,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,2013-04-17,19.0,15,0,1,0,126.66666666666666,0,0,21.0,0,11.2,115.22222222222221,12.173913043478262,135.39039462952505,19.0
A Ashish Reddy,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2013-04-19,7.0,7,1,0,0,100.0,0,0,8.0,0,9.8,111.88888888888889,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",2013-04-25,36.0,16,2,3,0,225.0,0,0,50.0,6,16.4,141.88888888888889,12.173913043478262,135.39039462952505,19.5
A Ashish Reddy,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,2013-04-27,14.0,11,1,0,1,127.27272727272728,0,0,13.0,0,16.0,131.7878787878788,12.173913043478262,135.39039462952505,14.0
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2013-05-04,5.0,7,1,0,1,71.42857142857143,0,0,4.0,0,16.2,130.0735930735931,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015-04-16,13.0,9,0,1,0,144.44444444444443,0,0,17.0,2,15.0,133.62914862914863,12.173913043478262,135.39039462952505,14.0
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015-04-18,15.0,8,1,1,1,187.5,0,0,22.0,6,16.6,151.12914862914863,12.173913043478262,135.39039462952505,14.0
A Ashish Reddy,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",2015-04-27,22.0,8,1,2,0,275.0,0,0,33.0,6,13.8,161.12914862914863,12.173913043478262,135.39039462952505,22.0
A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",2015-05-02,6.0,6,1,0,1,100.0,0,0,5.0,0,12.2,155.6746031746032,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",2015-05-17,17.0,15,0,1,1,113.33333333333331,0,0,17.0,0,14.6,164.05555555555554,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,2016-04-12,32.0,18,2,3,1,177.77777777777777,0,0,44.0,6,18.4,170.72222222222223,12.173913043478262,135.39039462952505,17.5
A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2016-04-16,13.0,9,0,1,0,144.44444444444443,0,0,17.0,2,18.0,162.1111111111111,12.173913043478262,135.39039462952505,8.454545454545455
A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2016-04-30,2.0,3,0,0,0,66.66666666666666,0,0,2.0,0,14.0,120.44444444444443,12.173913043478262,135.39039462952505,8.454545454545455
A Badoni,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",2022-03-28,54.0,42,4,3,1,128.57142857142858,1,0,70.0,0,54.0,128.57142857142858,18.658536585365855,113.11326325734164,23.75
A Badoni,Chennai Super Kings,Lucknow Super Giants,"Brabourne Stadium, Mumbai",2022-03-31,19.0,14,0,2,0,135.71428571428572,0,0,25.0,2,36.5,132.14285714285717,18.658536585365855,113.11326325734164,9.5
A Badoni,Lucknow Super Giants,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",2022-04-04,19.0,13,3,0,1,146.15384615384613,0,0,22.0,2,30.666666666666668,136.8131868131868,18.658536585365855,113.11326325734164,14.0
A Badoni,Delhi Capitals,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",2022-04-07,10.0,3,1,1,0,333.33333333333337,0,0,19.0,6,25.5,185.94322344322345,18.658536585365855,113.11326325734164,14.0
A Badoni,Rajasthan Royals,Lucknow Super Giants,"Wankhede Stadium, Mumbai",2022-04-10,5.0,7,0,0,1,71.42857142857143,0,0,3.0,0,21.4,163.04029304029305,18.658536585365855,113.11326325734164,23.75
A Badoni,Royal Challengers Bangalore,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",2022-04-19,13.0,13,2,0,1,100.0,0,0,13.0,0,13.2,157.32600732600733,18.658536585365855,113.11326325734164,14.0
A Badoni,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",2022-04-24,14.0,11,0,1,1,127.27272727272728,0,0,14.0,0,12.2,155.63769563769563,18.658536585365855,113.11326325734164,23.75
A Badoni,Lucknow Super Giants,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",2022-04-29,4.0,4,0,0,1,100.0,0,0,2.0,0,9.2,146.4069264069264,18.658536585365855,113.11326325734164,9.0
A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022-05-07,15.0,19,0,0,1,78.94736842105263,0,0,13.0,0,10.2,95.52973342447027,18.658536585365855,113.11326325734164,9.0
A Badoni,Gujarat Titans,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",2022-05-10,8.0,12,1,0,1,66.66666666666666,0,0,7.0,0,10.8,94.5773524720893,18.658536585365855,113.11326325734164,9.0
A Badoni,Rajasthan Royals,Lucknow Super Giants,"Brabourne Stadium, Mumbai",2022-05-15,0.0,1,0,0,1,0.0,0,0,-2.0,0,8.2,74.5773524720893,18.658536585365855,113.11326325734164,9.5
A Badoni,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-04-01,18.0,9,1,2,1,200.0,0,0,27.0,6,9.0,89.12280701754386,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Chennai Super Kings,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-04-03,23.0,19,0,0,1,121.05263157894736,0,0,21.0,0,12.8,93.33333333333333,18.658536585365855,113.11326325734164,12.0
A Badoni,Royal Challengers Bangalore,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",2023-04-10,30.0,29,4,0,1,103.44827586206895,0,0,32.0,0,15.8,98.23351482153659,18.658536585365855,113.11326325734164,15.0
A Badoni,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-04-15,5.0,7,0,0,0,71.42857142857143,0,0,5.0,0,15.2,99.18589577391755,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Lucknow Super Giants,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2023-04-19,1.0,4,0,0,1,25.0,0,0,-1.0,0,15.4,104.18589577391754,18.658536585365855,113.11326325734164,1.0
A Badoni,Gujarat Titans,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-04-22,8.0,6,0,0,0,133.33333333333331,0,0,8.0,0,13.4,90.85256244058421,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Lucknow Super Giants,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023-04-28,43.0,25,3,3,1,172.0,0,0,56.0,6,17.4,101.04203612479475,18.658536585365855,113.11326325734164,43.0
A Badoni,Royal Challengers Bangalore,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-05-01,4.0,11,0,0,1,36.36363636363637,0,0,2.0,0,12.2,87.62510822510822,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-05-03,59.0,35,2,4,0,168.57142857142858,1,0,81.0,4,23.0,107.05367965367967,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Gujarat Titans,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",2023-05-07,21.0,12,1,2,1,175.0,0,0,30.0,6,27.0,137.05367965367967,18.658536585365855,113.11326325734164,21.0
A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",2023-05-20,25.0,22,2,1,1,113.63636363636364,0,0,27.0,0,30.4,133.1142857142857,18.658536585365855,113.11326325734164,27.0
A Badoni,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,1.0,7,0,0,1,14.285714285714285,0,0,-1.0,0,22.0,101.57142857142858,18.658536585365855,113.11326325734164,12.0
A Badoni,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",2024-03-24,1.0,5,0,0,1,20.0,0,0,-1.0,0,21.4,98.2987012987013,18.658536585365855,113.11326325734164,1.0
A Badoni,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-03-30,8.0,10,0,0,1,80.0,0,0,6.0,0,11.2,80.5844155844156,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Lucknow Super Giants,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024-04-02,0.0,3,0,0,1,0.0,0,0,-2.0,0,7.0,45.58441558441559,18.658536585365855,113.11326325734164,15.0
A Badoni,Lucknow Super Giants,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-07,20.0,12,3,0,1,166.66666666666669,0,0,25.0,4,6.0,56.19047619047619,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-12,55.0,38,5,1,0,144.73684210526315,1,0,72.0,2,16.8,82.28070175438597,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",2024-04-14,29.0,27,2,1,1,107.40740740740742,0,0,31.0,0,22.4,99.76218323586745,18.658536585365855,113.11326325734164,27.0
A Badoni,Lucknow Super Giants,Rajasthan Royals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-27,18.0,15,1,0,0,120.0,0,0,19.0,0,24.4,107.76218323586745,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,6.0,6,1,0,0,100.0,0,0,7.0,0,25.6,127.76218323586745,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Kolkata Knight Riders,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-05-05,15.0,13,0,1,1,115.38461538461536,0,0,15.0,0,24.6,117.50577297945719,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Lucknow Super Giants,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-05-08,55.0,32,9,0,0,171.875,1,0,78.0,6,24.6,122.93340455840458,18.658536585365855,113.11326325734164,30.5
A Badoni,Delhi Capitals,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",2024-05-14,6.0,9,0,0,1,66.66666666666666,0,0,4.0,0,20.0,114.7852564102564,18.658536585365855,113.11326325734164,6.0
A Badoni,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",2024-05-17,22.0,10,1,2,0,220.00000000000003,0,0,33.0,6,20.8,134.7852564102564,18.658536585365855,113.11326325734164,23.75
A Badoni,Lucknow Super Giants,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025-03-24,4.0,5,0,0,1,80.0,0,0,2.0,0,20.4,130.7852564102564,18.658536585365855,113.11326325734164,4.0
A Badoni,Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025-03-27,6.0,6,1,0,1,100.0,0,0,5.0,0,18.6,127.70833333333334,18.658536585365855,113.11326325734164,30.5
A Badoni,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-01,41.0,35,1,3,1,117.14285714285715,0,0,46.0,0,15.8,116.76190476190477,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Lucknow Super Giants,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,30.0,20,4,0,1,150.0,0,0,36.0,4,20.6,133.42857142857144,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Gujarat Titans,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,28.0,21,2,1,0,133.33333333333331,0,0,34.0,2,21.8,116.0952380952381,18.658536585365855,113.11326325734164,22.466666666666665
A Badoni,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-14,22.0,18,1,2,1,122.22222222222224,0,0,25.0,0,25.4,124.53968253968256,18.658536585365855,113.11326325734164,22.466666666666665
A Chandila,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2012-05-18,0.0,1,0,0,1,0.0,0,0,-2.0,0,0.0,0.0,2.0,33.33333333333333,0.0
A Chandila,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,2013-04-20,4.0,6,0,0,0,66.66666666666666,0,0,4.0,0,2.0,33.33333333333333,2.0,33.33333333333333,4.0
A Chopra,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,2008-05-08,2.0,5,0,0,1,40.0,0,0,0.0,0,2.0,40.0,8.833333333333334,59.14814814814815,5.666666666666667
A Chopra,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2008-05-11,24.0,25,3,0,1,96.0,0,0,25.0,0,13.0,68.0,8.833333333333334,59.14814814814815,24.0
A Chopra,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,2008-05-13,13.0,18,2,0,1,72.22222222222221,0,0,13.0,0,13.0,69.4074074074074,8.833333333333334,59.14814814814815,5.666666666666667
A Chopra,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,2008-05-16,1.0,4,0,0,0,25.0,0,0,1.0,0,10.0,58.30555555555556,8.833333333333334,59.14814814814815,1.0
A Chopra,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,2008-05-25,2.0,3,0,0,1,66.66666666666666,0,0,0.0,0,8.4,59.977777777777774,8.833333333333334,59.14814814814815,5.666666666666667
A Chopra,Deccan Chargers,Kolkata Knight Riders,Newlands,2009-04-19,11.0,20,2,0,1,55.00000000000001,0,0,7.0,-4,10.2,62.977777777777774,8.833333333333334,59.14814814814815,11.0
A Choudhary,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2017-04-05,6.0,2,0,1,1,300.0,0,0,6.0,0,6.0,300.0,8.333333333333334,163.88888888888889,6.0
A Choudhary,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,2017-04-27,15.0,12,1,0,0,125.0,0,0,16.0,0,10.5,212.5,8.333333333333334,163.88888888888889,9.5
A Choudhary,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,2017-05-05,4.0,6,0,0,1,66.66666666666666,0,0,2.0,0,8.333333333333334,163.88888888888889,8.333333333333334,163.88888888888889,9.5
A Dananjaya,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,2018-04-14,4.0,5,0,0,0,80.0,0,0,4.0,0,4.0,80.0,4.0,80.0,4.0
A Flintoff,Chennai Super Kings,Mumbai Indians,Newlands,2009-04-18,24.0,25,2,1,1,96.0,0,0,26.0,0,24.0,96.0,20.666666666666668,114.01058201058201,24.0
A Flintoff,Royal Challengers Bangalore,Chennai Super Kings,St George's Park,2009-04-20,22.0,14,2,1,0,157.14285714285714,0,0,30.0,4,23.0,126.57142857142857,20.666666666666668,114.01058201058201,22.0
A Flintoff,Chennai Super Kings,Delhi Daredevils,Kingsmead,2009-04-23,16.0,18,1,0,1,88.88888888888889,0,0,15.0,0,20.666666666666668,114.01058201058201,20.666666666666668,114.01058201058201,16.0
A Kamboj,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",2024-05-11,2.0,2,0,0,0,100.0,0,0,2.0,0,2.0,100.0,2.5,87.5,2.0
A Kamboj,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",2025-04-11,3.0,4,0,0,0,75.0,0,0,3.0,0,2.5,87.5,2.5,87.5,3.0
A Kumble,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,2008-05-05,3.0,7,0,0,0,42.85714285714285,0,0,3.0,0,3.0,42.85714285714285,2.3333333333333335,79.19047619047619,1.6666666666666667
A Kumble,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",2008-05-12,0.0,1,0,0,0,0.0,0,0,0.0,0,1.5,21.428571428571423,2.3333333333333335,79.19047619047619,0.0
A Kumble,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,2008-05-17,8.0,8,1,0,1,100.0,0,0,7.0,0,3.6666666666666665,47.61904761904761,2.3333333333333335,79.19047619047619,8.0
A Kumble,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",2008-05-21,2.0,1,0,0,0,200.0,0,0,2.0,0,3.25,85.71428571428571,2.3333333333333335,79.19047619047619,2.0
A Kumble,Royal Challengers Bangalore,Chennai Super Kings,St George's Park,2009-04-20,1.0,5,0,0,0,20.0,0,0,1.0,0,2.8,72.57142857142857,2.3333333333333335,79.19047619047619,4.0
A Kumble,Royal Challengers Bangalore,Deccan Chargers,Newlands,2009-04-22,1.0,1,0,0,0,100.0,0,0,1.0,0,2.4,84.0,2.3333333333333335,79.19047619047619,1.0
A Kumble,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,2009-04-24,5.0,3,1,0,0,166.66666666666669,0,0,6.0,0,3.4,117.33333333333334,2.3333333333333335,79.19047619047619,3.0
A Kumble,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,2009-05-01,1.0,4,0,0,1,25.0,0,0,-1.0,0,2.0,102.33333333333334,2.3333333333333335,79.19047619047619,3.0
A Kumble,Royal Challengers Bangalore,Mumbai Indians,St George's Park,2009-05-10,7.0,6,1,0,0,116.66666666666669,0,0,8.0,0,3.0,85.66666666666667,2.3333333333333335,79.19047619047619,4.0
A Kumble,Royal Challengers Bangalore,Deccan Chargers,New Wanderers Stadium,2009-05-24,1.0,1,0,0,0,100.0,0,0,1.0,0,3.0,101.66666666666667,2.3333333333333335,79.19047619047619,1.0
A Kumble,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,2010-03-25,1.0,1,0,0,0,100.0,0,0,1.0,0,3.0,101.66666666666667,2.3333333333333335,79.19047619047619,1.6666666666666667
A Kumble,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2010-04-04,1.0,1,0,0,0,100.0,0,0,1.0,0,2.2,88.33333333333334,2.3333333333333335,79.19047619047619,1.0
A Kumble,Deccan Chargers,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",2010-04-12,2.0,4,0,0,0,50.0,0,0,2.0,0,2.4,93.33333333333334,2.3333333333333335,79.19047619047619,2.0
A Kumble,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,2010-04-17,1.0,3,0,0,0,33.33333333333333,0,0,1.0,0,1.2,76.66666666666666,2.3333333333333335,79.19047619047619,1.6666666666666667
A Kumble,Royal Challengers Bangalore,Mumbai Indians,Dr DY Patil Sports Academy,2010-04-21,1.0,3,0,0,0,33.33333333333333,0,0,1.0,0,1.2,63.33333333333333,2.3333333333333335,79.19047619047619,1.0
A Manohar,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",2022-03-28,15.0,7,3,0,0,214.28571428571428,0,0,24.0,6,15.0,214.28571428571428,13.166666666666666,94.46536328720236,5.666666666666667
A Manohar,Gujarat Titans,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",2022-04-02,1.0,2,0,0,1,50.0,0,0,-1.0,0,8.0,132.14285714285714,13.166666666666666,94.46536328720236,6.5
A Manohar,Gujarat Titans,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",2022-04-11,35.0,22,5,1,1,159.0909090909091,0,0,44.0,4,17.0,141.1255411255411,13.166666666666666,94.46536328720236,26.666666666666668
A Manohar,Gujarat Titans,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",2022-04-14,43.0,29,4,2,1,148.27586206896552,0,0,51.0,2,23.5,142.91312136139723,13.166666666666666,94.46536328720236,26.666666666666668
A Manohar,Chennai Super Kings,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",2022-04-17,12.0,12,2,0,1,100.0,0,0,12.0,0,21.2,134.33049708911778,13.166666666666666,94.46536328720236,6.5
A Manohar,Gujarat Titans,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",2022-04-23,2.0,5,0,0,1,40.0,0,0,0.0,0,18.6,99.47335423197492,13.166666666666666,94.46536328720236,26.666666666666668
A Manohar,Sunrisers Hyderabad,Gujarat Titans,"Wankhede Stadium, Mumbai",2022-04-27,0.0,2,0,0,1,0.0,0,0,-2.0,0,18.4,89.47335423197492,13.166666666666666,94.46536328720236,5.666666666666667
A Manohar,Gujarat Titans,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",2023-04-09,14.0,8,3,0,1,175.0,0,0,21.0,6,14.2,92.6551724137931,13.166666666666666,94.46536328720236,23.4
A Manohar,Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",2023-04-16,27.0,13,0,3,1,207.6923076923077,0,0,37.0,6,11.0,104.53846153846155,13.166666666666666,94.46536328720236,23.4
A Manohar,Gujarat Titans,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-04-22,3.0,5,0,0,1,60.0,0,0,1.0,0,9.2,96.53846153846155,13.166666666666666,94.46536328720236,3.0
A Manohar,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",2023-04-25,42.0,21,3,3,1,200.0,0,0,55.0,6,17.2,128.53846153846155,13.166666666666666,94.46536328720236,23.4
A Manohar,Delhi Capitals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2023-05-02,26.0,36,0,1,1,72.22222222222221,0,0,26.0,0,22.4,142.98290598290598,13.166666666666666,94.46536328720236,23.4
A Manohar,Mumbai Indians,Gujarat Titans,"Wankhede Stadium, Mumbai",2023-05-12,2.0,3,0,0,1,66.66666666666666,0,0,0.0,0,20.0,121.31623931623933,13.166666666666666,94.46536328720236,5.666666666666667
A Manohar,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",2024-04-10,1.0,2,0,0,1,50.0,0,0,-1.0,0,14.8,89.77777777777777,13.166666666666666,94.46536328720236,1.0
A Manohar,Gujarat Titans,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",2024-04-17,8.0,14,1,0,1,57.14285714285714,0,0,7.0,0,15.8,89.2063492063492,13.166666666666666,94.46536328720236,23.4
A Manohar,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025-03-23,0.0,1,0,0,1,0.0,0,0,-2.0,0,7.4,49.2063492063492,13.166666666666666,94.46536328720236,1.0
A Manohar,Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025-03-27,2.0,6,0,0,1,33.33333333333333,0,0,0.0,0,2.6,41.42857142857142,13.166666666666666,94.46536328720236,1.0
A Manohar,Sunrisers Hyderabad,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025-03-30,4.0,6,0,0,1,66.66666666666666,0,0,2.0,0,3.0,41.42857142857143,13.166666666666666,94.46536328720236,4.0
A Mishra,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,2008-05-11,4.0,5,0,0,1,80.0,0,0,2.0,0,4.0,80.0,6.927272727272728,85.97639436040085,12.5
A Mishra,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,2008-05-13,31.0,32,3,0,2,96.875,0,0,30.0,0,17.5,88.4375,6.927272727272728,85.97639436040085,10.2
A Mishra,Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,2008-05-30,2.0,5,0,0,1,40.0,0,0,0.0,0,12.333333333333334,72.29166666666667,6.927272727272728,85.97639436040085,7.0
